id_0,id_1
192,1796
192,2798
192,2851
192,3084
192,3293
192,3614
192,4191
192,4192
192,5414
192,9522
192,13896
192,62359
192,64932
198,718
198,754
198,2307
198,4088
198,5657
198,193878
198,277491
198,310557
202,1935
203,1048
203,2395
203,5482056
207,215
207,5632
209,1040
209,1624
209,4962
212,479
212,903
212,2245
212,9153
212,13204
212,16891
212,100810
215,317
215,385
215,458
215,533
215,685
215,687
215,692
215,808
215,882
215,997
215,1385
215,3307
215,3339
215,3381
215,3864
215,3875
215,8202
215,79236
216,3098
218,3325
220,317
220,542
220,110754
220,11142002
221,313
221,805
221,1126
221,2059
221,3493
221,6005
221,9522
221,76064
221,152366
221,1035779
226,2245
226,77974
228,1945
228,4576
228,294464
228,1546753
228,5259968
228,7627172
229,1622
230,298
230,393
230,564
230,1309
230,2528
230,7972
230,15427
230,103369
230,246791
230,310260
230,367387
230,1371731
230,1384338
230,4050205
230,4495513
230,5059044
230,9551192
230,9822974
230,10668131
232,398
232,971
232,1025
232,2077
232,2792
232,2851
232,3098
232,3543
232,4085
232,5168
232,7304
232,7613
232,8647
232,12038
232,12727
232,12745
232,13896
232,15552
232,15588
232,152120
232,361646
232,446167
232,1262819
232,10286020
238,254
238,821
238,1113
238,2056
238,2353
239,313
239,744
239,1999
239,66100
239,193878
240,564
240,607
240,2514
240,525046
248,523
248,5102
248,5657
249,896
252,388
252,256080
254,896
254,5078
254,13025
254,288296
254,5116665
255,268
259,553
259,978
259,980
259,1147
259,3445
259,4699
259,13204
259,75332
262,521
262,3839
266,298
266,2519
266,2528
266,7541
266,173581
266,6557769
267,5942214
268,110703
269,799
269,2270
269,1465570
269,1562681
269,5245183
270,1760
270,485737
270,1416675
270,13895003
273,1932
273,2512
273,2513
273,2528
273,2605
273,3886
273,4918
273,5004
276,868
276,15002
276,169954
281,327
281,6455
281,10620
281,515697
281,10541089
287,751
287,1456
287,2791
287,337770
287,2005781
290,479
290,483
290,542
290,612
290,15002
290,1097709
290,1166311
290,1424602
290,3968561
290,4050205
290,9549148
291,434
292,439
292,9197980
292,13820325
292,14058915
295,2395
295,2527
295,12942
295,398521
295,1412045
298,4400138
302,776
302,7969
302,8650
302,123685
302,310557
302,614223
302,1424602
302,3542201
302,5536564
302,6705223
302,68358002
303,2059
303,6121
305,978
305,2425
308,2947
308,305579
308,1353625
310,11971
310,8909272
310,10189104
313,810
313,1406
313,1999
313,827425
313,1054948
313,1429841
313,5266156
315,8638
315,9219
315,15888
317,2851
317,3156
317,13896
321,1581
321,96491
323,776
323,2527
323,3505
323,74309
323,1181430
323,2063721
323,5603027
323,5942214
323,7004075
323,9444014
330,657
330,310557
332,1709730
333,776
333,1459
333,2144511
358,493
358,10774
358,112259
358,5523632
359,712
363,3201
363,6815
363,65759
363,66582
366,2245
368,413
368,461
368,990
368,1439
368,1981
368,2425
368,2851
368,4664
368,5648
368,8513
368,13896
368,74289
368,77655
368,310557
368,563816
368,7402526
368,7890702
369,1023
369,4676
378,2659
381,607
381,1626113
388,751
388,762
390,3649
390,74095
390,4448630
390,7371074
393,763
393,103369
393,342437
398,971
398,1025
398,2792
398,2851
398,3098
398,7304
398,13896
404,413
404,74804
404,510086
404,3968561
405,808
405,1125
405,1342
405,1892
405,2554
405,2705
405,2947
405,2961
405,8547
405,8955
405,16596
405,793825
407,9907
407,142381
408,1309
408,1446
408,2947
408,214810
409,74309
410,16183
412,997
412,3098
412,7870
412,247379
412,12816021
413,483
413,785
413,799
413,1206
413,1439
413,1454
413,1935
413,1945
413,2372
413,2851
413,2961
413,3098
413,3134
413,3138
413,3293
413,7228
413,12436
413,13896
413,64932
413,210016
413,384236
413,398752
413,563882
413,802470
413,1362735
413,4023815
413,8706544
413,15166511
418,4649104
421,587
421,706
423,1342
425,4726
428,11799
430,867
430,1554
430,2691
430,2722
430,5251
430,12745
430,247319
430,308253
430,2577241
433,5593078
433,12530904
434,607
434,725
434,837
434,892
434,1192
434,1354
434,1846
434,1935
434,4576
434,6234
434,6550
434,10620
434,12178
434,97123
434,103103
434,142381
434,144227
434,159449
434,169361
434,169954
434,174348
434,262271
434,271922
434,283018
434,306898
434,379558
434,404049
434,407188
434,426684
434,482758
434,812093
434,961592
434,1000956
434,1020109
434,1032901
434,1198612
434,1353625
434,1365282
434,1462230
434,1465570
434,1678249
434,2699221
434,3542201
434,3968561
434,4438587
434,4445699
434,4740968
434,4782876
434,5297021
434,5306539
434,5355950
434,5565220
434,8425170
434,9539088
434,9851680
434,12029862
434,12948083
434,13817211
439,1033
439,6263
439,72041
439,5400149
443,457
443,1227
443,1748
445,1935
457,826
457,1557
457,6263
460,64085
460,70040
461,11976
461,13442
461,15898
461,116337
461,1353625
461,5297021
465,304545
465,5603027
468,7307
468,73166
479,491
479,1581
479,1642
479,3469
479,5677
479,70075
479,75491
479,1429841
479,1443471
479,4023815
